wordset	p_affinity
1_1_O:N_O_C-V_CG1:CA_CG1_CG2 1_2_C:N_C_C-V_CG1:CA_CG1_CG2 1_3_N:N_N_C-V_CG2:CG1_CG2_CA 1_4_C:C_C_C-F_CE1:CD1_CE1_CZ 1_4_N:C_N_C-M_O:C_N_CA 2_3_N:N_N_C-M_O:C_N_CA 2_6_C:C_C_C-M_O:C_N_CA 1_4_C:C_C_C-T_O:C_N_CA 1_3_C:N_C_C-Y_O:C_N_CA 2_6_C:C_C_C-G_CA:N_CA_C 2_4_C:C_C_C-N_O:C_N_CA 2_6_C:C_C_C-N_O:C_N_CA 1_3_C:N_C_C-D_OD2:OD1_OD2_CB 1_6_C:C_C_C-E_OE1:CG_OE1_OE2 1_4_C:C_C_C-N_O:C_N_CA 1_4_C:C_C_C-N_O:C_N_CA 1_4_C:C_C_C-C_O:C_N_CA 2_6_C:C_C_C-L_CD2:CD1_CD2_CB 1_6_C:C_C_C-L_CD1:CB_CD1_CD2 1_2_C:N_C_C-L_CD1:CB_CD1_CD2 2_4_C:C_C_C-L_CD1:CB_CD1_CD2 2_4_C:C_C_C-L_CD2:CD1_CD2_CB 1_2_O:C_O_C-D_OD2:OD1_OD2_CB 1_6_O:C_O_C-D_OD1:CB_OD1_OD2 2_6_O:N_O_C-D_O:C_N_CA	8.301029995663981
1_4_C:N_C_C-Y_CE1:CD1_CE1_CZ 1_4_C:C_C_C-Y_CD1:CG_CD1_CE1 1_4_C:N_C_C-V_CG2:CG1_CG2_CA 1_4_N:C_N_C-V_CG2:CG1_CG2_CA 1_4_C:N_C_C-A_CB:N_CA_C 1_4_N:C_N_C-A_CB:N_CA_C 1_1_C:C_C_C-V_O:C_N_CA 2_4_C:C_C_C-K_CB:CA_CB_CG 2_6_C:C_C_N-K_CD:CG_CD_CE 1_5_N:C_N_C-E_OE2:OE1_OE2_CG 1_4_C:C_C_C-E_OE2:OE1_OE2_CG 2_4_C:C_C_C-E_OE2:OE1_OE2_CG 2_4_C:C_C_C-E_OE2:OE1_OE2_CG 1_3_C:N_C_C-V_CG1:CA_CG1_CG2 2_6_C:C_C_C-V_CG1:CA_CG1_CG2 2_6_C:C_C_C-M_CG:CB_CG_SD 2_4_C:C_C_C-M_CG:CB_CG_SD 1_1_F:F_F_F-L_CD1:CB_CD1_CD2 2_6_C:C_C_C-V_CG1:CA_CG1_CG2 2_1_F:F_F_F-V_O:C_N_CA 1_4_N:C_N_C-T_OG1:CA_CG2_OG1 2_6_N:N_N_N-T_CG2:CG2_OG1_CA 1_4_C:N_C_N-M_O:C_N_CA 2_4_N:C_N_C-M_O:C_N_CA 2_4_N:C_N_C-G_CA:N_CA_C 2_1_F:F_F_F-L_CD2:CD1_CD2_CB 2_4_C:N_C_C-L_CD2:CD1_CD2_CB 1_2_C:C_C_C-F_CD2:CE2_CD2_CG 2_1_C:C_C_C-I_O:C_N_CA 1_1_C:C_C_C-H_O:C_N_CA 2_6_C:C_C_C-L_CD1:CB_CD1_CD2 2_1_O:N_O_C-D_O:C_N_CA 1_3_C:N_C_C-D_OD2:OD1_OD2_CB 1_6_C:C_C_C-D_O:C_N_CA 1_6_C:C_C_N-D_O:C_N_CA 2_6_N:C_N_C-F_CE2:CZ_CE2_CD2	7.958607314841775
1_5_O:C_O_C-V_CG1:CA_CG1_CG2 2_6_C:C_C_O-V_CG2:CG1_CG2_CA 1_4_C:C_C_C-A_O:C_N_CA 1_6_N:C_N_C-E_OE2:OE1_OE2_CG 2_4_C:C_C_C-K_CB:CA_CB_CG 2_4_C:N_C_C-K_CB:CA_CB_CG 2_1_F:C_F_C-E_OE2:OE1_OE2_CG 1_4_N:C_N_C-E_OE2:OE1_OE2_CG 2_5_N:C_N_C-E_OE2:OE1_OE2_CG 1_4_N:C_N_C-E_OE1:CG_OE1_OE2 1_4_C:C_C_C-E_OE1:CG_OE1_OE2 1_4_C:C_C_C-V_CG1:CA_CG1_CG2 1_4_C:C_C_C-V_CG2:CG1_CG2_CA 2_6_N:C_N_C-V_CG1:CA_CG1_CG2 2_6_C:C_C_N-M_CG:CB_CG_SD 2_1_C:C_C_C-L_CD2:CD1_CD2_CB 1_6_C:C_C_N-V_CG2:CG1_CG2_CA 1_4_C:C_C_C-V_CG1:CA_CG1_CG2 1_4_C:C_C_C-V_CG2:CG1_CG2_CA 2_6_C:N_C_N-V_CG1:CA_CG1_CG2 1_6_N:C_N_C-E_O:C_N_CA 1_4_N:C_N_C-F_CD1:CG_CD1_CE1 1_4_N:C_N_C-F_O:C_N_CA 1_1_O:N_O_C-G_CA:N_CA_C 2_1_C:C_C_C-L_CD2:CD1_CD2_CB 2_1_C:C_C_C-F_CD2:CE2_CD2_CG 2_4_C:N_C_C-L_CD1:CB_CD1_CD2 2_1_O:N_O_N-A_CB:N_CA_C 1_4_C:C_C_C-D_O:C_N_CA 1_6_N:C_N_C-D_OD2:OD1_OD2_CB 1_4_C:C_C_C-F_CE1:CD1_CE1_CZ 2_6_C:C_C_O-F_CZ:CE1_CZ_CE2	8.397940008672037
1_5_O:C_O_C-V_CG1:CA_CG1_CG2 1_6_C:C_C_O-V_CG2:CG1_CG2_CA 1_4_C:C_C_C-A_O:C_N_CA 1_6_N:C_N_C-E_OE2:OE1_OE2_CG 2_4_C:C_C_C-K_CB:CA_CB_CG 2_4_C:N_C_C-K_CB:CA_CB_CG 2_1_F:C_F_C-E_OE2:OE1_OE2_CG 1_4_N:C_N_C-E_OE1:CG_OE1_OE2 1_4_C:C_C_C-E_OE1:CG_OE1_OE2 1_4_C:C_C_C-V_CG1:CA_CG1_CG2 1_6_C:C_C_C-V_CG2:CG1_CG2_CA 1_6_C:C_C_N-V_CG2:CG1_CG2_CA 2_6_N:C_N_C-V_CG1:CA_CG1_CG2 2_5_N:C_N_C-M_CE:CG_SD_CG 2_4_N:C_N_C-M_CG:CB_CG_SD 2_1_C:C_C_C-I_CD1:CD1_CG1_CB 2_1_C:C_C_C-L_CD2:CD1_CD2_CB 1_6_C:C_C_N-V_CG2:CG1_CG2_CA 1_4_C:C_C_C-V_CG1:CA_CG1_CG2 1_4_C:C_C_C-V_CG2:CG1_CG2_CA 2_6_C:N_C_N-V_CG1:CA_CG1_CG2 1_6_N:C_N_C-E_O:C_N_CA 1_4_N:C_N_C-F_O:C_N_CA 1_4_N:C_N_C-F_CD1:CG_CD1_CE1 1_1_O:N_O_C-G_CA:N_CA_C 2_1_C:C_C_C-F_CD2:CE2_CD2_CG 2_4_C:N_C_C-L_CD1:CB_CD1_CD2 2_1_O:N_O_N-A_CB:N_CA_C 1_4_C:C_C_C-D_O:C_N_CA 1_6_N:C_N_C-D_OD2:OD1_OD2_CB 2_6_C:C_C_O-F_CZ:CE1_CZ_CE2 2_4_C:C_C_C-F_CE1:CD1_CE1_CZ 1_4_C:C_C_C-F_CE1:CD1_CE1_CZ	8.397940008672037
1_1_O:N_O_C-L_CD2:CD1_CD2_CB 1_5_O:C_O_C-V_CG1:CA_CG1_CG2 1_4_C:C_C_C-V_CG1:CA_CG1_CG2 2_6_C:C_C_O-V_CG1:CA_CG1_CG2 2_1_F:C_F_C-K_CB:CA_CB_CG 2_6_C:C_C_O-K_CB:CA_CB_CG 1_4_C:N_C_C-E_OE2:OE1_OE2_CG 1_6_N:C_N_C-E_OE2:OE1_OE2_CG 1_4_C:C_C_C-K_CB:CA_CB_CG 1_4_N:C_N_C-E_OE2:OE1_OE2_CG 1_4_N:C_N_C-E_OE1:CG_OE1_OE2 1_4_C:C_C_C-E_OE2:OE1_OE2_CG 1_4_C:C_C_C-V_CG1:CA_CG1_CG2 2_1_C:C_C_C-V_CG1:CA_CG1_CG2 1_6_C:C_C_C-V_CG2:CG1_CG2_CA 2_6_C:N_C_N-V_CG1:CA_CG1_CG2 2_5_N:C_N_C-M_CE:CG_SD_CG 2_1_C:C_C_C-L_CD2:CD1_CD2_CB 1_6_C:C_C_N-V_CG2:CG1_CG2_CA 2_2_C:C_C_C-V_CG1:CA_CG1_CG2 2_4_C:C_C_C-T_CG2:CG2_OG1_CA 2_4_C:C_C_C-T_CG2:CG2_OG1_CA 1_4_C:N_C_C-E_O:C_N_CA 1_4_N:C_N_C-F_O:C_N_CA 1_4_N:C_N_C-M_O:C_N_CA 1_6_N:C_N_C-M_CB:CA_CB_CG 2_1_C:C_C_C-F_CE2:CZ_CE2_CD2 1_6_N:C_N_C-F_CE2:CZ_CE2_CD2 1_4_C:C_C_C-A_CB:N_CA_C 2_6_O:N_O_N-A_CB:N_CA_C 1_6_N:C_N_C-D_O:C_N_CA 1_3_N:N_N_C-D_OD2:OD1_OD2_CB 1_4_C:C_C_C-F_O:C_N_CA	9.096910013008056
2_6_C:C_C_O-V_CG1:CA_CG1_CG2 1_4_C:C_C_C-V_CG1:CA_CG1_CG2 1_1_F:C_F_C-K_CB:CA_CB_CG 2_6_C:C_C_O-K_CB:CA_CB_CG 1_6_N:C_N_C-E_OE2:OE1_OE2_CG 1_4_C:C_C_C-K_CB:CA_CB_CG 1_4_C:C_C_C-E_OE2:OE1_OE2_CG 2_1_C:C_C_C-V_CG1:CA_CG1_CG2 1_4_C:C_C_C-V_CG2:CG1_CG2_CA 2_6_C:N_C_N-V_CG1:CA_CG1_CG2 2_5_N:C_N_C-M_CE:CG_SD_CG 2_4_N:C_N_C-M_CG:CB_CG_SD 2_1_C:C_C_C-L_CD2:CD1_CD2_CB 1_6_C:C_C_N-V_CG2:CG1_CG2_CA 2_2_C:C_C_C-V_CG1:CA_CG1_CG2 2_4_C:C_C_C-T_CG2:CG2_OG1_CA 2_4_C:C_C_C-T_CG2:CG2_OG1_CA 1_6_N:C_N_C-E_O:C_N_CA 1_4_C:N_C_C-E_O:C_N_CA 1_4_N:C_N_C-F_O:C_N_CA 1_4_N:C_N_C-F_CD2:CE2_CD2_CG 1_1_O:N_O_C-F_CE1:CD1_CE1_CZ 2_1_C:C_C_C-F_CE2:CZ_CE2_CD2 1_6_N:C_N_C-F_CE2:CZ_CE2_CD2 1_1_O:N_O_N-A_CB:N_CA_C 1_6_N:C_N_C-D_O:C_N_CA 1_3_N:N_N_C-D_OD2:OD1_OD2_CB 2_4_C:C_C_C-D_O:C_N_CA 1_4_C:C_C_C-F_O:C_N_CA 2_5_O:C_O_C-F_CE2:CZ_CE2_CD2 1_4_N:C_N_C-G_CA:N_CA_C 1_4_C:N_C_C-R_NH1:NE_NH1_NH2	9.096910013008056
2_4_O:C_O_C-V_CG1:CA_CG1_CG2 1_6_C:C_C_C-V_CG2:CG1_CG2_CA 2_4_C:C_C_C-V_CG2:CG1_CG2_CA 1_4_C:C_C_C-A_CB:N_CA_C 2_4_C:C_C_C-K_CB:CA_CB_CG 2_6_C:C_C_N-L_CD2:CD1_CD2_CB 1_3_C:N_C_C-L_CD2:CD1_CD2_CB 2_6_C:C_C_C-T_CG2:CG2_OG1_CA 1_4_C:N_C_C-H_O:C_N_CA 1_4_C:C_C_C-Y_OH:CE1_OH_CE2 2_4_N:C_N_C-Y_CD1:CG_CD1_CE1 2_6_C:C_C_C-H_O:C_N_CA 1_6_O:C_O_C-E_O:C_N_CA 2_6_O:C_O_C-S_O:C_N_CA 1_4_O:C_O_C-D_OD1:CB_OD1_OD2 1_6_O:C_O_C-D_OD1:CB_OD1_OD2 2_4_C:C_C_C-D_OD2:OD1_OD2_CB 1_4_O:C_O_C-D_OD2:OD1_OD2_CB 1_4_C:C_C_C-L_CD2:CD1_CD2_CB 2_6_C:C_C_C-L_CD2:CD1_CD2_CB 2_4_C:C_C_C-L_CD2:CD1_CD2_CB 1_3_N:C_N_C-D_OD1:CB_OD1_OD2 1_3_C:N_C_C-D_OD2:OD1_OD2_CB 2_3_C:N_C_C-D_O:C_N_CA	7.823908740944319
1_6_C:C_C_C-T_OG1:CA_CG2_OG1 1_6_C:C_C_C-L_CD1:CB_CD1_CD2 2_6_N:C_N_C-L_O:C_N_CA 2_1_O:N_O_C-G_O:C_N_CA 2_6_C:C_C_C-G_O:C_N_CA 1_4_C:C_C_C-E_OE1:CG_OE1_OE2 1_4_C:C_C_C-E_OE2:OE1_OE2_CG 1_4_C:C_C_C-V_CG2:CG1_CG2_CA 1_4_C:C_C_C-V_CG2:CG1_CG2_CA 1_6_C:O_C_C-V_O:C_N_CA 2_4_O:C_O_C-H_ND1:CG_ND1_CE1 1_4_C:C_C_C-H_CD2:NE2_CD2_CG 1_4_C:C_C_C-E_OE2:OE1_OE2_CG 1_1_O:O_O_C-H_NE2:CE1_NE2_CD2 2_1_O:O_O_C-H_CE1:ND1_CE1_NE2 1_2_C:C_C_C-H_CE1:ND1_CE1_NE2 2_2_C:C_C_C-H_CE1:ND1_CE1_NE2 1_4_C:C_C_C-K_O:C_N_CA 1_4_C:C_C_C-Y_O:C_N_CA 1_4_C:O_C_C-V_CG2:CG1_CG2_CA 1_4_C:C_C_C-Y_O:C_N_CA 1_6_C:C_C_C-I_O:C_N_CA 1_4_C:C_C_C-I_O:C_N_CA 1_6_N:C_N_C-A_O:C_N_CA 1_3_N:C_N_C-A_CB:N_CA_C 2_4_C:C_C_C-A_CB:N_CA_C 2_4_C:C_C_C-A_CB:N_CA_C 1_4_N:C_N_C-V_O:C_N_CA 1_4_C:C_C_C-N_ND2:OD1_ND2_CB 1_4_C:C_C_C-N_OD1:CB_OD1_ND2	6.844663962534939
1_3_C:N_C_C-T_OG1:CA_CG2_OG1 1_2_C:C_C_C-L_CD1:CB_CD1_CD2 1_5_C:C_C_C-L_CD1:CB_CD1_CD2 1_1_C:C_C_C-L_CD1:CB_CD1_CD2 1_6_C:O_C_C-V_CG2:CG1_CG2_CA 1_4_C:C_C_C-V_CG1:CA_CG1_CG2 2_3_C:N_C_C-H_NE2:CE1_NE2_CD2 2_4_O:C_O_C-H_ND1:CG_ND1_CE1 1_6_C:C_C_S-H_ND1:CG_ND1_CE1 1_4_C:C_C_C-H_ND1:CG_ND1_CE1 2_1_O:O_O_N-E_OE2:OE1_OE2_CG 1_2_C:C_C_C-E_OE1:CG_OE1_OE2 2_6_C:C_C_S-H_CE1:ND1_CE1_NE2 1_4_C:C_C_C-P_O:C_N_CA 1_4_C:O_C_C-I_O:C_N_CA 1_5_C:C_C_C-A_CB:N_CA_C	7.552841968657781
2_3_N:C_N_C-V_CG1:CA_CG1_CG2 1_3_C:N_C_C-T_OG1:CA_CG2_OG1 1_4_C:N_C_C-L_O:C_N_CA 2_1_O:N_O_C-G_O:C_N_CA 2_3_C:N_C_C-L_CD1:CB_CD1_CD2 1_3_C:N_C_C-L_CD1:CB_CD1_CD2 1_4_C:C_C_C-V_CG2:CG1_CG2_CA 2_1_O:C_O_C-H_NE2:CE1_NE2_CD2 2_1_O:C_O_C-H_CD2:NE2_CD2_CG 1_4_N:C_N_C-H_NE2:CE1_NE2_CD2 2_1_O:N_O_C-H_NE2:CE1_NE2_CD2 1_3_C:C_C_S-V_O:C_N_CA 1_2_S:C_S_C-Y_O:C_N_CA 1_4_C:C_C_C-A_CB:N_CA_C 1_4_C:C_C_C-V_O:C_N_CA 1_6_C:C_C_S-V_O:C_N_CA	6.3979400086720375
